,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
418,sj_3efe4d962d7f806f,17,5,3,2034.0,1028.0,430.0,462.0,303.0,94.0,20.648936170212767,10.925531914893616,4.914893617021277
419,sj_0a2114a188346af7,34,11,8,2039.0,1002.0,391.0,448.0,267.0,99.0,19.606060606060606,10.121212121212121,4.525252525252525
422,sj_3efb3c619d9aba00,31,14,8,1481.0,724.0,280.0,336.0,183.0,99.0,13.969696969696969,7.303030303030303,3.3838383838383836
458,sj_d7a6cda0bc7d040d,14,6,4,2970.0,1501.0,524.0,648.0,369.0,147.0,19.210884353741495,10.210884353741497,4.408163265306122
17,sj_02841588f2a12ab6,10,4,3,1318.0,693.0,293.0,325.0,188.0,65.0,19.29230769230769,10.661538461538461,5.015384615384615
18,sj_370b84f2d525558a,16,7,5,881.0,402.0,211.0,259.0,150.0,56.0,14.75,7.178571428571429,4.625
19,sj_26519b8a737491b4,10,4,3,1252.0,661.0,288.0,310.0,186.0,66.0,17.984848484848484,10.015151515151516,4.712121212121212
20,sj_7acd5538d1d234f0,14,5,4,1294.0,681.0,290.0,316.0,186.0,64.0,19.234375,10.640625,4.953125
21,sj_1bae262de89da3b9,23,10,6,1904.0,926.0,409.0,419.0,282.0,94.0,19.26595744680851,9.851063829787234,4.457446808510638
22,sj_978ebe46e2c73502,20,11,7,1280.0,622.0,289.0,361.0,206.0,76.0,15.855263157894736,8.18421052631579,4.776315789473684
23,sj_af1ecf27244c2ef0,16,5,4,2264.0,1059.0,446.0,568.0,340.0,155.0,13.612903225806452,6.819354838709677,3.664516129032258
24,sj_2cd516a3ac0d161c,23,12,8,911.0,455.0,176.0,280.0,144.0,55.0,15.581818181818182,8.272727272727273,5.090909090909091
25,sj_bd48d272c52de90c,16,6,5,1142.0,618.0,265.0,272.0,166.0,65.0,16.584615384615386,9.507692307692308,4.2
26,sj_8aa2aed68c18bd52,23,11,8,1000.0,450.0,233.0,289.0,164.0,61.0,15.40983606557377,7.377049180327869,4.754098360655738
27,sj_f4e9f8b44494bd17,37,16,13,1708.0,808.0,371.0,431.0,276.0,91.0,17.78021978021978,8.87912087912088,4.714285714285714
28,sj_3eba51d5194d0bd1,16,6,5,1153.0,623.0,267.0,275.0,168.0,65.0,16.753846153846155,9.584615384615384,4.246153846153846
29,sj_8dc2a98a4be251cb,13,6,6,883.0,458.0,203.0,277.0,162.0,46.0,18.217391304347824,9.956521739130435,6.021739130434782
31,sj_45977d424c81e05f,24,10,7,2435.0,1279.0,454.0,494.0,314.0,127.0,18.181102362204726,10.070866141732283,3.8897637795275593
49,sj_835f01e02e4ece5f,4,2,2,2581.0,1252.0,497.0,626.0,373.0,152.0,15.986842105263158,8.236842105263158,4.118421052631579
50,sj_161a7a4da60a2328,22,9,6,3937.0,2001.0,714.0,811.0,449.0,165.0,22.866666666666667,12.139393939393939,4.921212121212121
104,sj_8704c0316ba84992,11,3,2,2733.0,1301.0,507.0,681.0,369.0,151.0,17.105960264900663,8.609271523178808,4.503311258278146
120,sj_c691514adfef2b2b,27,11,7,1767.0,871.0,375.0,358.0,235.0,76.0,22.263157894736842,11.447368421052632,4.7105263157894735
